Процессы (в консоль ограничено, в файл пишется полный список):
77334    kworker/9:0-events           Normal     2025-12-19 16:47:06 Running/R… 0,01     0         
97       kworker/9:0H-events_highpri  RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
81556    kworker/9:1-cgroup_free      Normal     2025-12-19 16:58:41 Running/R… 0,00     0         
271      kworker/9:1H-kblockd         RealTime   2025-12-19 14:41:09 Running/R… 0,01     0         
85972    kworker/9:2                  Normal     2025-12-19 17:16:01 Running/R… 0,00     0         
146      kworker/R-acpi_thermal_pm    RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
297      kworker/R-amdgpu-reset-dev   RealTime   2025-12-19 14:41:11 Running/R… 0,00     0         
308      kworker/R-amdgpu_dm_hpd_rx_… RealTime   2025-12-19 14:41:12 Running/R… 0,00     0         
309      kworker/R-amdgpu_dm_hpd_rx_… RealTime   2025-12-19 14:41:12 Running/R… 0,00     0         
310      kworker/R-amdgpu_dm_hpd_rx_… RealTime   2025-12-19 14:41:12 Running/R… 0,00     0         
311      kworker/R-amdgpu_dm_hpd_rx_… RealTime   2025-12-19 14:41:12 Running/R… 0,00     0         
312      kworker/R-amdgpu_dm_hpd_rx_… RealTime   2025-12-19 14:41:12 Running/R… 0,00     0         
313      kworker/R-amdgpu_dm_hpd_rx_… RealTime   2025-12-19 14:41:12 Running/R… 0,00     0         
314      kworker/R-amdgpu_dm_hpd_rx_… RealTime   2025-12-19 14:41:12 Running/R… 0,00     0         
315      kworker/R-amdgpu_dm_hpd_rx_… RealTime   2025-12-19 14:41:12 Running/R… 0,00     0         
317      kworker/R-amdgpu_dm_hpd_wq   RealTime   2025-12-19 14:41:12 Running/R… 0,00     0         
134      kworker/R-ata_sff            RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
128      kworker/R-blkcg_punt_bio     RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
641      kworker/R-cfg80211           RealTime   2025-12-19 14:41:14 Running/R… 0,00     0         
323      kworker/R-comp_1.0.0         RealTime   2025-12-19 14:41:12 Running/R… 0,00     0         
327      kworker/R-comp_1.0.1         RealTime   2025-12-19 14:41:12 Running/R… 0,00     0         
324      kworker/R-comp_1.1.0         RealTime   2025-12-19 14:41:12 Running/R… 0,00     0         
328      kworker/R-comp_1.1.1         RealTime   2025-12-19 14:41:12 Running/R… 0,00     0         
325      kworker/R-comp_1.2.0         RealTime   2025-12-19 14:41:12 Running/R… 0,00     0         
329      kworker/R-comp_1.2.1         RealTime   2025-12-19 14:41:12 Running/R… 0,00     0         
326      kworker/R-comp_1.3.0         RealTime   2025-12-19 14:41:12 Running/R… 0,00     0         
330      kworker/R-comp_1.3.1         RealTime   2025-12-19 14:41:12 Running/R… 0,00     0         
546      kworker/R-cryptd             RealTime   2025-12-19 14:41:13 Running/R… 0,00     0         
137      kworker/R-devfreq_wq         RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
316      kworker/R-dm_vblank_control… RealTime   2025-12-19 14:41:12 Running/R… 0,00     0         
135      kworker/R-edac-poller        RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
299      kworker/R-ext4-rsv-conversi… RealTime   2025-12-19 14:41:11 Running/R… 0,00     0         
662      kworker/R-ext4-rsv-conversi… RealTime   2025-12-19 14:41:14 Running/R… 0,00     0         
322      kworker/R-gfx_0.0.0          RealTime   2025-12-19 14:41:12 Running/R… 0,00     0         
117      kworker/R-inet_frag_wq       RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
150      kworker/R-ipv6_addrconf      RealTime   2025-12-19 14:41:09 Running/R… 0,00     0         
333      kworker/R-jpeg_dec           RealTime   2025-12-19 14:41:12 Running/R… 0,00     0         
127      kworker/R-kblockd            RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
126      kworker/R-kintegrityd        RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
158      kworker/R-kstrp              RealTime   2025-12-19 14:41:09 Running/R… 0,00     0         
144      kworker/R-kthrotld           RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
4        kworker/R-kvfree_rcu_reclaim RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
149      kworker/R-mld                RealTime   2025-12-19 14:41:09 Running/R… 0,00     0         
14       kworker/R-mm_percpu_wq       RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
8        kworker/R-netns              RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
277      kworker/R-nvme-auth-wq       RealTime   2025-12-19 14:41:09 Running/R… 0,00     0         
276      kworker/R-nvme-delete-wq     RealTime   2025-12-19 14:41:09 Running/R… 0,00     0         
275      kworker/R-nvme-reset-wq      RealTime   2025-12-19 14:41:09 Running/R… 0,00     0         
274      kworker/R-nvme-wq            RealTime   2025-12-19 14:41:09 Running/R… 0,00     0         
139      kworker/R-quota_events_unbo… RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
5        kworker/R-rcu_gp             RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
331      kworker/R-sdma0              RealTime   2025-12-19 14:41:12 Running/R… 0,00     0         
7        kworker/R-slub_flushwq       RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
6        kworker/R-sync_wq            RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
133      kworker/R-tpm_dev_wq         RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
303      kworker/R-ttm                RealTime   2025-12-19 14:41:11 Running/R… 0,00     0         
332      kworker/R-vcn_unified_0      RealTime   2025-12-19 14:41:12 Running/R… 0,00     0         
122      kworker/R-writeback          RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
62517    kworker/u64:0-gfx_0.0.0      Normal     2025-12-19 15:51:58 Running/R… 5,08     0         
72688    kworker/u64:1-flush-259:0    Normal     2025-12-19 16:39:29 Running/R… 4,45     0         
64626    kworker/u64:15-flush-259:0   Normal     2025-12-19 16:02:29 Running/R… 4,72     0         
78874    kworker/u64:2-sdma0          Normal     2025-12-19 16:49:29 Running/R… 3,55     0         
64638    kworker/u64:27-ext4-rsv-con… Normal     2025-12-19 16:02:29 Running/R… 4,54     0         
85677    kworker/u64:3+events_unbound Normal     2025-12-19 17:14:12 Running/R… 0,47     0         
82937    kworker/u64:4-gfx_0.0.0      Normal     2025-12-19 17:06:43 Running/R… 0,12     0         
82938    kworker/u64:5-gfx_0.0.0      Normal     2025-12-19 17:06:43 Running/R… 1,58     0         
